movie_id,title,industry,genre,budget_million,release_year,runtime_min,critic_rating,audience_rating,review_sentiment,review_volume,star_power,social_media_buzz,marketing_spend_million,box_office_collection
70,Master (2023),Hindi,Family,271.02,2023,135,7.6,8.4,-0.87,2053,4.8,1922,30.35,2326.32
71,Zindagi Na Milegi Dobara (2024),Hindi,Romance,25.65,2020,150,8.3,7.7,-0.26,3748,5.7,709,23.09,204.11
72,Visaranai,Hindi,Family,232.98,2018,128,6.6,7.4,0.56,3746,7.5,2748,41.68,670.16
73,Dangal (2012),Hindi,Thriller,107.35,2022,123,6.1,7.0,-0.13,240,7.1,2324,43.56,639.09
74,Vikram (2024) (2013),Hindi,Drama,97.58,2020,128,5.7,6.9,0.01,1811,4.2,4538,65.84,548.0
75,Dhoom 3 (2024),Tamil,Thriller,75.2,2015,142,4.7,4.9,-0.44,3548,8.1,2493,5.52,276.89
76,Vikram,Hindi,Drama,211.19,2016,124,4.1,4.7,-0.92,122,3.5,3829,71.88,1971.7
77,Chennai Express (2017),Telugu,Drama,75.18,2017,148,7.6,8.5,-0.99,3250,10.0,10,24.67,203.2
78,Vikram (2024) (2017),Malayalam,Romance,32.31,2014,121,7.3,8.9,-0.92,2755,6.8,3681,29.08,194.9
79,Happy New Year,Hindi,Thriller,221.24,2018,127,7.0,9.0,0.74,4248,3.0,10,49.67,975.05
80,Bell Bottom (2014),Tamil,Family,71.94,2011,131,6.6,8.9,0.36,1393,7.1,1179,13.8,220.85
81,Padmaavat,Hindi,Romance,225.6,2018,134,8.0,7.0,0.9,4683,6.3,698,2.48,499.17
82,Raanjhanaa (2016),Bengali,Romance,49.62,2013,123,6.1,4.7,0.84,2646,9.5,4646,28.72,133.02
83,Sairat (2021) (2021),Marathi,Musical,62.21,2023,152,5.2,5.5,0.95,5075,4.0,4484,55.99,209.84
84,Talvar,Kannada,Thriller,97.38,2014,157,6.4,6.5,-0.87,1418,5.6,10,6.15,114.93
85,Chennai Express (2017) (2024),Marathi,Drama,44.69,2015,145,6.5,7.3,-0.56,538,3.2,10,24.55,202.3
86,Aruvi,Hindi,Family,50.7,2011,139,5.5,6.4,0.61,143,6.5,10,40.69,107.03
87,Masaan,Kannada,Romance,98.45,2023,163,5.6,5.0,-0.62,339,7.3,10,79.35,142.95
88,Sanju (2016),Malayalam,Biopic,89.12,2016,122,5.9,7.9,-0.01,1910,8.5,1375,29.23,259.88
89,Paan Singh Tomar (2017),Hindi,Romance,271.47,2013,165,6.6,8.0,-0.19,2045,4.2,3423,10.97,2294.22
90,Drishyam (Telugu remake),Malayalam,Family,29.64,2012,123,6.8,8.3,-0.27,1384,6.2,10,26.68,102.96
91,Karthikeya 2,Telugu,Romance,52.91,2018,162,7.1,8.7,-0.89,3993,3.4,284,21.6,97.92
92,Stree,Marathi,Drama,30.21,2017,130,5.6,5.8,-0.07,3067,4.8,2415,27.19,173.24
93,RRR,Telugu,Comedy,48.36,2025,156,7.4,7.8,-0.55,1511,5.2,5551,43.52,144.17
94,War (2017),Hindi,Family,52.4,2018,139,6.0,5.7,0.22,2395,4.4,407,30.69,398.66
95,Andhadhun (2015),Telugu,Drama,56.31,2020,143,6.8,6.9,-0.36,2759,5.1,4629,7.46,152.23
96,Andhadhun (2015) (2010),Bengali,Thriller,93.42,2014,150,4.7,3.8,0.7,3376,4.2,3410,22.89,450.29
97,Brahmastra,Hindi,Romance,239.37,2018,129,6.0,7.2,-0.82,1454,6.0,1959,78.8,1171.06
98,Barfi!,Hindi,Drama,180.59,2020,141,2.9,3.0,0.32,43,7.6,3132,46.44,1592.56
99,Talvar (2021),Malayalam,Romance,86.7,2025,152,5.3,5.2,0.51,3144,3.9,10,9.01,232.33
100,Kantara (2018),Telugu,Family,13.31,2014,143,8.6,8.8,-0.4,220,3.3,5474,11.98,192.28
101,Special 26 (2021),Hindi,Drama,176.52,2025,168,6.8,8.5,0.89,458,5.6,886,62.51,295.84
102,Dangal (2012) (2010),Bengali,Drama,8.12,2020,162,7.2,7.6,0.06,1745,2.5,2664,7.31,72.05
103,Vikram (2016),Malayalam,Drama,15.71,2024,117,6.7,7.0,-0.72,2236,7.3,2111,14.14,110.98
104,Paan Singh Tomar (2016),Malayalam,Action,22.09,2023,138,5.5,7.0,-0.56,1922,8.4,573,19.88,55.5
105,Badhaai Ho,Hindi,Thriller,27.59,2012,167,4.8,4.9,-0.5,2489,8.4,4571,24.83,326.74
106,Lucifer,Malayalam,Thriller,93.94,2021,131,6.8,7.8,-0.19,459,6.8,2355,49.14,135.0
107,Krrish 3,Telugu,Romance,54.47,2025,126,5.7,6.5,-0.94,105,6.2,10,49.02,79.16
108,Kabali (2021) (2017),Bengali,Drama,88.79,2024,160,8.2,10.0,0.06,1326,4.5,5136,58.65,479.58
109,KGF: Chapter 1,Kannada,Drama,12.1,2015,140,8.4,7.1,0.09,1502,7.0,938,10.89,98.23
110,Jai Bhim (2024),Bengali,Biopic,40.42,2020,127,8.0,9.3,0.89,2700,8.7,551,21.64,164.21
111,Singham,Hindi,Romance,94.83,2016,137,7.6,8.8,0.55,1992,6.4,10,35.66,660.78
112,Baahubali: The Beginning (2021) (2023),Telugu,Drama,66.68,2023,123,6.9,6.8,0.74,1391,5.7,2979,4.52,112.98
113,Premam (Malayalam) (2010),Tamil,Crime,78.49,2014,123,5.5,4.8,0.13,3694,10.0,4100,60.24,135.14
114,Barfi! (2019),Hindi,Family,242.67,2021,129,5.6,5.8,-0.33,924,7.4,10,4.58,813.85
115,Eega,Telugu,Romance,22.8,2013,129,5.4,5.8,0.47,3038,3.9,10,10.48,41.0
116,Goliyon Ki Raasleela Ram-Leela (2020),Telugu,Drama,64.69,2012,147,6.1,6.1,-0.54,2732,3.1,497,53.95,263.13
117,Pushpa: The Rise,Telugu,Thriller,54.21,2011,143,3.0,4.5,0.01,1156,5.3,4495,35.99,237.6
118,Chennai Express (2019),Hindi,Crime,208.28,2025,143,8.0,7.3,0.53,1187,7.2,707,8.68,540.46
119,Gully Boy,Hindi,Drama,267.43,2022,124,6.1,6.4,0.89,1554,8.3,10,52.35,527.73
120,Gadar 2,Malayalam,Drama,73.81,2018,135,4.0,4.1,-0.07,2640,3.9,5322,44.08,229.46
121,Lucifer (2021),Malayalam,Family,59.81,2023,150,4.0,4.7,-0.7,2373,7.8,2903,53.83,274.29
122,Stree (2025),Marathi,Action,1.61,2013,126,5.6,7.1,0.19,3723,8.3,10,1.45,7.25
123,Asuran,Hindi,Romance,98.89,2018,144,7.4,6.7,0.78,724,3.7,1856,7.82,858.59
124,Tiger Zinda Hai,Tamil,Drama,55.56,2014,161,4.6,3.5,-0.81,1285,4.7,923,14.56,218.49
125,Premam (Telugu remake) (2023),Malayalam,Musical,47.19,2019,136,4.1,4.3,0.72,408,9.3,3072,29.49,142.84
126,Paan Singh Tomar (2016) (2016),Telugu,Comedy,87.48,2013,166,6.5,5.6,-0.95,2539,5.1,10,49.56,171.14
127,My Name Is Khan (2016),Tamil,Action,30.86,2019,153,5.6,6.9,0.95,2558,4.5,1410,4.32,93.65
128,Thuppakki (2025),Telugu,Action,31.82,2012,152,6.8,7.4,0.46,3543,8.8,10,28.64,66.19
129,Thuppakki,Marathi,Romance,73.64,2020,132,7.5,7.9,0.86,2419,3.6,3674,29.92,205.07
130,KGF: Chapter 2,Kannada,Action,7.61,2020,141,3.9,4.7,1.0,824,1.9,128,6.85,15.61
131,Yeh Jawaani Hai Deewani,Tamil,Thriller,46.56,2019,125,3.8,5.7,-0.73,1299,5.0,515,21.37,145.59
132,Bajrangi Bhaijaan (2017),Hindi,Action,52.98,2010,127,7.3,7.7,0.19,1182,6.4,3553,27.97,297.81
133,Pink,Tamil,Drama,18.45,2020,142,7.7,7.7,0.23,3120,2.0,2021,16.61,68.83
134,Aruvi (2021),Tamil,Family,78.67,2011,142,6.4,7.1,0.16,1038,6.4,2445,38.76,169.18
135,Kesari,Kannada,Drama,23.83,2018,111,7.5,7.5,-0.77,2082,5.6,970,21.45,138.76
136,Bangalore Days,Malayalam,Family,59.42,2024,157,5.8,7.4,0.26,2255,6.9,4192,33.42,328.23
137,Lipstick Under My Burkha,Hindi,Romance,11.2,2021,146,7.0,6.6,0.67,3098,1.6,2983,10.08,180.42
138,Bangalore Days (2011) (2022),Hindi,Drama,122.35,2022,96,9.0,10.0,-0.71,1548,4.5,1518,6.16,822.47
139,Badhaai Ho (2018),Hindi,Drama,275.68,2021,149,7.1,7.5,-0.1,3109,7.8,10,36.62,1516.67
140,Robot (Enthiran) (2021),Telugu,Romance,25.72,2021,144,6.7,6.7,0.11,785,8.3,4272,23.15,91.11
141,Bangalore Days (2021),Hindi,Biopic,17.22,2010,140,7.1,6.1,-0.9,1955,3.5,2514,15.5,192.17
142,Visaranai (2013),Hindi,Action,235.82,2022,140,6.6,6.4,-0.18,353,4.8,3655,58.6,1291.48
143,Kabali,Hindi,Drama,287.37,2020,144,7.4,9.7,0.24,1457,4.7,1707,50.81,915.32
144,Vikram (2024) (2020),Marathi,Musical,90.84,2016,160,5.1,2.8,-0.28,1374,9.0,5215,13.34,326.26
145,Tiger 3,Hindi,Family,80.09,2011,131,6.5,5.8,0.49,3471,3.4,751,41.3,161.7
146,Badlapur (2018),Hindi,Thriller,156.54,2015,112,6.5,7.4,-0.65,2147,4.2,1376,50.24,738.6
147,Vikram (2024) (2010),Tamil,Action,50.21,2023,143,5.3,6.6,0.62,227,2.9,3177,20.83,103.79
148,Drishyam (Telugu remake) (2018),Malayalam,Action,56.18,2017,116,8.7,8.3,-0.82,2240,6.1,10,17.51,112.49
149,Premam,Malayalam,Family,31.92,2024,124,5.4,6.4,0.41,314,8.1,2624,28.73,184.56
150,Vikram (2024) (2018),Hindi,Musical,19.52,2022,145,6.2,5.7,-0.72,1137,6.0,3801,17.57,316.51
151,Fukrey,Telugu,Crime,62.61,2011,116,4.8,4.7,-0.89,915,9.9,10,56.35,79.85
152,Rockstar,Telugu,Drama,41.42,2013,127,5.7,6.1,-0.26,2090,6.8,2033,37.28,103.98
153,Goliyon Ki Raasleela Ram-Leela (2015),Malayalam,Musical,27.84,2012,134,9.5,10.0,0.74,2100,4.6,3265,25.06,94.71
154,Soodhu Kavvum (2018),Tamil,Thriller,51.79,2016,134,5.6,6.3,-0.73,2374,5.7,2181,46.61,287.36
155,Yeh Jawaani Hai Deewani (2020),Malayalam,Family,98.68,2025,128,6.7,8.3,0.28,3783,7.6,648,76.78,97.06
156,Pushpa: The Rise (2023),Kannada,Romance,20.14,2020,141,8.7,8.1,0.66,4753,7.1,3178,8.88,176.51
157,Article 15 (2011),Hindi,Action,46.08,2024,116,7.6,7.4,-0.3,1749,5.2,2543,41.47,241.29
158,Jai Bhim (2019),Hindi,Drama,8.16,2017,146,6.5,5.4,-0.31,421,1.0,3385,7.34,124.59
159,Kabali (2021) (2017),Hindi,Romance,138.12,2017,141,7.8,5.7,0.64,955,4.3,2306,22.51,371.29
160,Madras (2015),Tamil,Sports,44.37,2023,136,7.2,6.1,-1.0,1509,4.6,2542,10.07,144.44
161,Bajrangi Bhaijaan (2017) (2025),Telugu,Action,25.35,2010,141,6.2,5.5,0.5,2930,7.5,10,22.32,61.39
162,Ustad Hotel (2018) (2010),Hindi,Thriller,155.12,2010,144,6.5,7.1,0.51,1986,6.5,10,79.37,1086.31
163,Badhaai Ho (2010),Kannada,Action,95.47,2023,141,5.2,5.2,-0.88,454,4.8,10,35.37,397.49
164,Visaranai (2025),Hindi,Crime,22.77,2019,124,5.2,4.6,0.57,1409,6.6,10,10.35,63.07
165,Asuran (2021),Kannada,Drama,18.43,2013,165,6.3,6.4,-0.03,677,5.4,1018,16.59,78.14
166,Maheshinte Prathikaaram,Malayalam,Action,29.96,2016,119,4.6,3.7,0.38,2191,5.0,10,26.96,112.44
167,Drishyam (Malayalam) (2012),Malayalam,Action,79.62,2015,130,5.8,7.0,0.71,3272,6.7,194,40.54,273.33
168,Thank God,Malayalam,Action,63.33,2025,134,6.1,6.7,0.62,3034,5.6,443,25.44,112.98
169,Singham (2010),Telugu,Romance,25.32,2011,146,6.4,7.5,0.87,4305,7.5,6509,22.79,210.8
170,Gully Boy (2024),Hindi,Drama,265.69,2019,159,5.2,5.1,0.22,1818,4.8,10,6.91,328.6
171,War (2020),Malayalam,Action,25.69,2014,131,7.8,8.3,0.16,852,4.1,3100,23.12,142.04
172,Thank God (2011),Hindi,Musical,101.71,2019,159,5.7,6.4,0.48,1836,7.9,1986,4.44,285.72
173,Drishyam (Malayalam) (2021),Malayalam,Romance,69.6,2012,150,4.8,4.7,0.83,2554,2.4,2466,34.75,203.49
174,Vikram Vedha (2016),Hindi,Comedy,282.59,2019,160,7.4,8.1,-0.21,2455,5.8,361,54.06,927.85
175,Drishyam (Telugu remake) (2012),Malayalam,Thriller,23.08,2025,143,5.4,5.2,-0.24,1981,6.2,10,20.77,60.91
176,Bhool Bhulaiyaa,Tamil,Comedy,26.34,2019,124,6.3,7.4,0.68,575,3.6,1844,23.71,137.78
177,Drishyam (Malayalam) (2014),Malayalam,Action,93.77,2013,130,10.0,10.0,-0.35,3301,6.5,10,46.92,80.9
178,Kabali (2021) (2019),Malayalam,Drama,43.89,2016,147,5.5,8.0,-0.61,2684,7.3,10,39.5,171.0
179,Bajrangi Bhaijaan (2017) (2015),Telugu,Drama,10.63,2023,159,6.7,7.1,0.62,1788,4.6,1444,9.57,100.02
180,Bajrangi Bhaijaan (2017) (2016),Telugu,Crime,76.58,2011,120,7.0,8.4,0.2,3809,10.0,10,27.09,210.53
181,Mary Kom,Malayalam,Action,51.41,2017,146,7.2,7.1,-0.86,2354,5.5,3223,23.39,295.65
182,Talvar (2020),Hindi,Crime,8.54,2015,164,6.9,6.3,0.94,1962,10.0,2254,7.69,107.57
183,Gully Boy (2024) (2020),Hindi,Family,38.7,2018,150,5.9,6.4,-0.07,1949,5.1,4141,34.28,354.81
184,Rockstar (2022),Malayalam,Action,43.04,2010,139,5.8,7.8,-0.34,4212,4.6,863,29.66,100.44
185,Ustad Hotel (2017),Tamil,Romance,29.53,2019,157,6.6,5.8,-0.6,3209,4.5,437,8.1,45.14
186,Piku,Tamil,Romance,26.1,2025,153,6.0,7.0,-0.8,5377,8.7,10,6.84,106.48
187,Fukrey (2011),Hindi,Comedy,241.6,2025,142,5.0,5.9,-0.46,966,7.8,566,38.37,990.57
188,Angamaly Diaries (2013),Malayalam,Comedy,48.2,2024,148,4.9,5.1,-0.06,1704,5.2,888,16.68,168.84
189,RRR (2024),Telugu,Drama,39.14,2014,101,6.7,8.3,-0.76,3797,4.7,10,35.23,47.77
190,Dabangg (2013),Telugu,Comedy,93.05,2016,148,5.8,6.0,-0.23,2086,4.0,10,78.64,328.41
191,Ek Villain,Hindi,Thriller,193.91,2021,146,7.3,9.7,-0.45,2685,5.4,6642,11.1,1084.05
192,Gadar 2 (2020),Hindi,Romance,54.57,2013,122,4.5,4.9,0.77,1237,6.6,10,49.11,210.61
193,Highway,Hindi,Crime,43.66,2016,140,8.2,7.7,0.03,3306,5.8,3798,29.1,362.69
194,Mubarakan (2012),Hindi,Action,290.18,2025,132,6.8,7.0,-0.86,3353,1.6,4139,70.28,882.82
195,English Vinglish (2017),Malayalam,Action,41.07,2024,158,6.5,8.0,-0.65,3878,9.7,1724,36.96,54.61
196,Aruvi (2021) (2013),Marathi,Action,98.83,2020,120,6.4,6.6,0.42,3170,6.6,481,22.91,67.64
197,Barfi! (2020),Hindi,Drama,127.25,2014,138,7.4,8.2,-0.78,93,8.5,5446,63.46,1105.55
198,Raees (2012),Kannada,Action,62.08,2018,94,7.2,7.7,-0.43,691,4.6,10,55.87,35.07
199,Barfi! (2020) (2013),Telugu,Action,7.79,2012,138,7.8,7.3,-0.48,3845,8.3,317,7.01,61.31
200,Tiger Zinda Hai (2016),Bengali,Romance,2.9,2019,134,4.5,5.9,0.99,3084,6.6,10,2.61,18.61
201,Asuran (2018),Hindi,Family,22.42,2014,132,6.1,5.9,0.34,1681,6.4,10,20.18,77.74
202,Sultan (2017),Tamil,Action,2.4,2022,142,9.1,9.9,0.14,1930,8.1,1897,2.16,40.19
203,Drishyam (2023),Malayalam,Thriller,72.24,2015,143,5.3,6.4,0.38,5475,5.0,3346,65.02,119.25
204,Tiger 3 (2016),Telugu,Drama,6.36,2025,116,5.0,5.2,-0.36,392,4.8,10,5.72,23.28
205,Happy New Year (2017),Malayalam,Action,1.77,2019,134,7.7,7.8,-0.02,1997,9.2,10,1.59,26.92
206,Drishyam (Telugu remake) (2020),Tamil,Drama,21.11,2015,158,4.7,3.9,-0.42,2151,4.5,140,19.0,54.31
207,Super Deluxe (2019),Kannada,Musical,42.71,2017,112,5.9,5.3,-0.46,3631,4.3,1215,38.44,46.07
208,KGF: Chapter 2 (2022),Telugu,Comedy,2.47,2010,114,5.4,6.7,-0.39,2912,4.8,3301,2.22,136.17
209,Paan Singh Tomar (2016) (2024),Hindi,Romance,161.79,2018,105,5.4,7.5,-1.0,160,6.3,10,57.92,438.36
210,Gully Boy (2012),Hindi,Drama,150.14,2012,125,5.8,4.1,-0.48,2056,3.8,1284,74.26,618.29
211,Kahaani,Hindi,Musical,190.38,2015,132,6.4,8.3,-0.47,1996,4.8,3013,65.99,468.22
212,Dabangg (2013) (2019),Tamil,Drama,69.63,2025,132,7.0,7.4,-0.07,3264,6.6,10,62.67,132.99
213,Bhool Bhulaiyaa 2,Tamil,Drama,45.32,2019,157,6.0,6.3,0.01,2576,7.4,1738,40.79,97.63
214,Mersal,Hindi,Crime,12.27,2017,156,7.6,8.4,0.29,3286,6.7,10,11.04,61.37
215,Thank God (2011),Hindi,Drama,179.85,2012,144,6.8,8.6,0.89,1772,4.6,10,74.55,819.66
216,Drishyam (Telugu remake) (2025),Malayalam,Thriller,66.73,2014,125,7.6,7.1,0.31,1550,6.2,534,60.06,217.69
217,Mahanati,Kannada,Comedy,50.85,2014,123,6.8,6.9,-0.11,2638,3.6,3970,20.71,247.19
218,Kaithi (2016),Malayalam,Romance,35.23,2017,126,6.6,7.4,-0.63,3796,5.0,528,5.03,59.99
219,Lucifer (2025),Malayalam,Drama,99.83,2021,113,6.9,5.6,0.68,1515,8.0,3763,71.5,400.04
220,Paan Singh Tomar (2018),Telugu,Family,96.33,2011,122,7.1,9.3,0.56,3491,7.7,2528,4.97,270.74
221,Krrish 3 (2012),Hindi,Romance,14.74,2010,149,7.3,8.2,-0.9,460,5.3,1476,13.27,128.7
222,Vikram (2025),Tamil,Drama,16.94,2020,152,8.5,8.0,-0.1,3292,6.5,1410,15.25,70.42
223,Premam (Malayalam) (2013),Malayalam,Action,88.06,2020,147,5.0,5.5,0.37,200,6.2,10,37.79,75.53
224,Tanu Weds Manu (2019) (2015),Hindi,Action,239.7,2016,122,7.1,8.7,0.07,486,8.4,3788,50.48,760.89
225,Toofan,Tamil,Drama,43.34,2025,124,5.9,6.2,0.37,1742,5.1,800,39.01,107.84
226,Sultan (2017) (2017),Hindi,Thriller,131.89,2011,112,5.8,6.5,-0.49,2701,5.7,1024,73.02,535.61
227,Fukrey (2020),Malayalam,Thriller,31.01,2017,126,6.4,7.5,-0.65,2189,5.7,10,27.91,52.87
228,Thank God (2017),Hindi,Biopic,289.48,2014,132,5.5,5.5,0.63,1401,4.5,1056,27.71,1805.22
