movie_id,title,genre,budget_million,release_year,runtime_min,critic_rating,audience_rating,review_sentiment,review_volume,star_power,social_media_buzz,marketing_spend_million,box_office_collection
89,Neon Frontier (2015),Sci-Fi,36.19,2015,145,6.1,9.4,0.46,23854,0.72,189678,46.96,168.73
90,Fallen Storm (2012),Drama,7.77,2012,146,8.3,9.5,-0.58,2714,0.89,127718,10.18,121.29
91,Quantum Storm (2017),Adventure,157.51,2017,165,8.3,8.0,-0.07,12840,0.5,126850,58.42,420.27
92,Broken Mirage (2014),Romance,163.4,2014,171,7.5,5.2,0.96,26285,0.7,114702,22.53,634.48
93,Silver Labyrinth (2020),Action,36.59,2020,109,5.7,4.2,0.11,17159,0.84,107781,22.31,257.88
94,Crimson Mirage (2023),Adventure,149.21,2023,148,9.4,4.9,0.88,15187,0.64,123902,14.37,620.27
95,Lost Labyrinth (2024),Sci-Fi,89.54,2024,144,7.2,9.6,0.63,7053,0.88,127547,18.71,357.35
96,Golden Legacy (2012),Horror,51.72,2012,141,8.6,6.7,0.33,8838,0.39,78718,35.5,135.09
97,Neon Frontier (2008),Comedy,126.17,2008,179,5.2,9.0,-0.3,40240,0.81,20929,26.9,453.71
98,Infinite Labyrinth (2014),Action,39.8,2014,154,6.0,6.7,-0.39,17735,0.96,113623,13.22,222.39
99,Neon Mirage (2012),Adventure,152.59,2012,136,9.1,7.8,0.29,21407,0.53,23830,48.93,303.31
100,Neon Empire (2000),Action,14.28,2000,140,4.3,4.1,-0.13,9179,0.56,182679,5.61,127.54
101,Midnight Horizon (2024),Drama,192.03,2024,147,7.0,5.4,0.6,30572,0.36,17478,50.41,649.78
102,Eternal Shadow (2006),Romance,19.02,2006,152,6.8,6.5,0.52,44643,0.75,118210,17.95,210.72
103,Infinite Shadow (2008),Action,117.99,2008,104,8.4,7.7,-0.38,9275,0.69,66086,30.76,213.84
104,Silent Echo (2023),Horror,180.93,2023,138,5.6,5.0,0.41,23683,0.33,96607,24.1,521.8
105,Silver Odyssey (2000),Horror,7.32,2000,85,5.3,8.4,-0.01,29787,0.83,130174,35.09,113.8
106,Eternal Legacy (2011),Thriller,102.21,2011,174,9.4,6.1,-0.35,4810,0.88,183261,48.17,242.47
107,Silver Rebellion (2007),Thriller,73.25,2007,94,7.3,8.7,-0.17,15827,0.93,16988,59.38,354.42
108,Final Frontier (2023),Action,118.16,2023,107,4.6,4.6,0.79,41970,0.68,97958,19.75,525.47
109,Hidden Echo (2010),Drama,48.96,2010,135,5.1,7.9,-0.28,24640,0.62,11441,34.12,169.61
110,Midnight Code (2018),Drama,17.66,2018,108,9.8,5.7,-0.43,29197,0.91,16609,29.03,130.44
111,Final Legacy (2016),Comedy,127.06,2016,97,5.1,8.6,-0.3,37081,0.58,135742,59.94,296.59
112,Dark Storm (2007),Sci-Fi,86.29,2007,113,7.5,6.3,-0.57,31157,0.76,76073,48.92,197.87
113,Hidden Storm (2002),Sci-Fi,126.38,2002,142,6.4,7.9,0.09,46784,0.73,22028,25.03,403.22
114,Golden Echo (2002),Adventure,46.06,2002,175,9.1,9.4,-0.71,15246,0.56,183908,29.66,105.35
115,Neon Code (2000),Sci-Fi,71.05,2000,179,8.4,4.1,0.63,6391,0.36,75727,16.27,320.82
116,Golden Rebellion (2004),Romance,114.53,2004,127,7.5,4.1,-0.55,40156,0.31,141288,45.8,60.31
117,Infinite Shadow (2009),Drama,120.66,2009,94,4.1,8.5,0.2,23078,0.6,146327,51.02,243.93
118,Broken Echo (2006),Comedy,77.6,2006,115,9.1,7.7,-0.75,25031,0.64,153913,57.97,250.19
119,Final Horizon (2008),Thriller,59.61,2008,158,6.6,5.7,0.96,36470,0.88,144650,34.82,398.11
120,Crimson Odyssey (2006),Horror,58.37,2006,172,9.4,6.9,-0.09,49994,0.59,152622,40.9,155.43
121,Quantum Whisper (2008),Sci-Fi,39.07,2008,98,6.9,4.2,0.64,8245,0.5,70739,27.87,202.92
122,Final Legacy (2007),Thriller,68.45,2007,118,8.0,5.1,0.54,1923,0.62,49617,37.33,329.16
123,Final Whisper (2011),Thriller,43.89,2011,101,4.4,6.5,0.43,47805,0.47,118333,22.23,178.63
124,Hidden Journey (2001),Action,128.59,2001,105,8.3,8.8,0.65,12559,0.36,194716,44.79,505.6
125,Midnight Frontier (2000),Romance,115.97,2000,151,6.0,6.8,-0.8,45855,0.38,166673,3.32,158.78
126,Golden Frontier (2015),Comedy,79.6,2015,142,6.0,7.4,0.36,25221,0.52,6384,3.65,358.28
127,Fallen Echo (2022),Romance,68.54,2022,163,4.7,9.1,-0.47,14751,0.31,86554,43.54,44.19
128,Neon Journey (2022),Action,51.33,2022,92,4.9,5.8,0.57,42375,0.45,72655,55.98,195.15
129,Silver Dream (2023),Comedy,109.41,2023,122,5.1,8.1,0.91,29995,0.85,194755,38.67,408.74
130,Neon Rebellion (2004),Comedy,184.19,2004,110,5.9,9.0,0.8,7147,0.46,104505,44.14,384.01
131,Silver Echo (2002),Drama,138.71,2002,148,9.2,5.2,-0.77,35179,0.38,160907,49.79,230.74
132,Neon Empire (2011),Romance,150.16,2011,114,6.1,6.1,-0.26,32859,0.96,22409,22.98,505.15
133,Midnight Mirage (2007),Romance,167.7,2007,93,8.2,9.7,-0.27,28777,0.74,18676,8.27,338.39
134,Golden Frontier (2021),Drama,73.57,2021,116,4.5,9.7,-0.76,1839,0.34,161950,56.12,52.33
135,Golden Labyrinth (2002),Adventure,17.26,2002,95,7.4,5.3,-0.8,15264,0.34,195477,56.44,5.0
136,Infinite Horizon (2000),Thriller,126.4,2000,170,6.8,4.4,-0.23,6946,0.73,136347,27.63,364.32
137,Final Empire (2002),Action,41.79,2002,118,9.7,5.6,0.98,49560,0.68,140035,14.6,236.65
138,Silent Shadow (2004),Romance,115.96,2004,102,8.9,6.3,0.14,17381,0.35,107967,53.76,300.87
139,Quantum Frontier (2014),Drama,149.2,2014,103,6.6,6.6,0.24,11640,0.46,81940,43.09,408.51
140,Crimson Empire (2013),Horror,157.81,2013,138,8.5,7.6,-0.06,45660,0.95,61965,2.48,377.28
141,Midnight Horizon (2002),Adventure,63.86,2002,166,5.1,9.2,0.32,8701,0.7,109485,8.25,276.23
142,Midnight Journey (2000),Comedy,104.92,2000,121,7.3,5.9,0.91,49252,0.61,181832,59.03,326.59
143,Eternal Odyssey (2004),Sci-Fi,126.09,2004,166,4.4,8.9,0.18,25068,0.48,74061,4.21,499.45
144,Quantum Journey (2022),Horror,164.8,2022,96,6.0,4.5,-0.87,31830,0.39,174114,18.39,449.01
145,Quantum Mirage (2013),Drama,153.47,2013,88,5.3,4.2,-0.01,3316,0.58,59318,33.81,492.72
146,Fallen Horizon (2006),Sci-Fi,197.66,2006,127,8.2,6.9,0.99,33594,0.95,157622,12.69,550.56
147,Midnight Echo (2008),Thriller,6.58,2008,111,6.8,4.3,-0.23,28642,0.33,38087,15.46,129.46
148,Golden Whisper (2014),Action,90.31,2014,135,8.4,6.3,0.19,17766,0.99,127861,22.47,415.19
149,Final Mirage (2014),Sci-Fi,54.93,2014,89,7.0,9.2,-0.79,18555,0.45,7953,17.63,176.0
150,Fallen Labyrinth (2009),Adventure,28.38,2009,90,4.5,5.4,-0.72,38270,0.59,95266,48.59,75.2
151,Lost Code (2012),Thriller,182.75,2012,161,8.3,8.1,0.75,25813,0.33,104431,31.02,368.92
152,Broken Frontier (2018),Sci-Fi,199.6,2018,171,8.8,5.8,-0.4,19058,0.71,153376,18.16,372.73
153,Crimson Whisper (2006),Comedy,40.22,2006,140,9.2,4.3,-0.39,5735,0.64,95613,20.16,163.02
154,Infinite Odyssey (2016),Comedy,12.49,2016,173,7.3,7.2,-0.23,34191,0.77,39739,4.31,137.23
155,Lost Code (2019),Adventure,58.64,2019,152,8.4,8.8,0.93,16661,0.68,129020,4.86,285.54
156,Crimson Journey (2003),Comedy,167.8,2003,128,8.4,6.4,-0.83,15047,0.58,107879,43.64,241.48
157,Silver Legacy (2004),Comedy,62.31,2004,99,4.9,7.6,0.64,24996,0.82,25987,8.55,275.94
158,Final Whisper (2022),Drama,16.1,2022,174,5.0,9.2,-0.32,31408,0.32,119064,29.6,6.36
159,Lost Shadow (2006),Comedy,15.24,2006,126,4.4,8.6,0.7,47069,0.68,7038,50.86,178.25
160,Dark Shadow (2012),Horror,88.35,2012,95,5.9,5.1,0.98,32152,0.38,3775,23.37,379.2
161,Silver Horizon (2014),Comedy,186.71,2014,157,6.7,8.3,-0.3,36092,0.61,139549,22.05,426.79
162,Hidden Odyssey (2010),Horror,60.75,2010,95,9.8,6.9,-0.74,9845,0.85,72910,52.64,159.33
163,Broken Journey (2003),Drama,88.3,2003,150,6.5,8.3,-0.71,2570,0.4,68819,52.16,291.13
164,Fallen Whisper (2012),Comedy,24.88,2012,111,8.2,6.9,0.52,24230,0.96,18046,53.05,226.89
165,Quantum Odyssey (2006),Adventure,101.25,2006,142,8.0,4.7,-0.71,7044,0.92,152597,35.17,336.38
166,Hidden Shadow (2018),Thriller,140.83,2018,174,5.2,7.3,-0.48,37868,0.59,119723,57.23,317.74
167,Silver Mirage (2021),Adventure,57.87,2021,156,4.3,6.9,-0.59,34188,0.3,42181,49.5,93.88
168,Silent Journey (2001),Thriller,62.86,2001,105,7.2,7.0,-0.29,39359,0.85,132823,26.11,138.05
169,Eternal Dream (2009),Romance,169.19,2009,105,8.1,9.1,-0.85,47111,0.92,146563,38.51,450.67
170,Midnight Labyrinth (2012),Thriller,7.02,2012,156,9.8,9.2,0.71,23356,0.42,159814,9.06,139.83
171,Silver Dream (2024),Action,129.11,2024,85,6.1,6.6,0.72,48074,0.94,49736,33.98,361.59
172,Infinite Echo (2020),Action,81.81,2020,142,9.2,6.6,-0.17,18327,0.94,194329,17.26,222.77
173,Crimson Dream (2005),Action,63.18,2005,97,6.2,7.0,0.22,13199,0.63,102458,18.45,270.11
174,Fallen Journey (2011),Drama,133.23,2011,157,8.0,7.0,0.28,36069,0.86,51420,9.29,403.0
175,Silent Empire (2011),Adventure,167.76,2011,176,7.5,9.5,0.5,18659,0.61,54257,22.78,479.51
176,Silver Labyrinth (2019),Thriller,113.89,2019,90,4.3,7.8,0.04,8720,0.69,44096,29.92,460.16
177,Dark Journey (2010),Adventure,11.06,2010,171,4.5,5.6,0.02,19176,0.52,90764,36.82,13.01
178,Fallen Journey (2022),Horror,94.97,2022,142,4.1,7.1,0.26,4203,0.41,163700,19.68,294.91
179,Neon Legacy (2024),Action,95.24,2024,101,6.2,7.6,0.41,32157,0.82,77061,47.95,334.94
180,Golden Labyrinth (2006),Romance,111.04,2006,157,8.3,7.7,-0.31,34093,0.3,25790,32.22,225.74
181,Fallen Odyssey (2000),Drama,135.84,2000,96,5.0,7.4,-0.34,47465,0.71,116683,39.01,499.64
182,Neon Echo (2000),Romance,8.77,2000,170,7.5,5.0,-0.46,40979,0.91,161839,18.13,109.69
183,Final Storm (2024),Thriller,102.89,2024,136,5.7,4.2,0.1,16511,0.45,6327,49.22,380.65
184,Fallen Labyrinth (2024),Comedy,119.72,2024,160,8.6,6.0,-0.28,30255,0.53,118898,38.21,319.57
185,Quantum Odyssey (2019),Romance,71.95,2019,154,8.6,6.5,0.08,25214,0.71,190397,52.02,272.64
186,Infinite Echo (2012),Comedy,135.33,2012,157,8.5,4.4,-0.19,21336,0.47,181625,11.28,373.84
187,Fallen Horizon (2008),Drama,49.49,2008,136,7.0,8.7,0.67,18046,0.89,108107,24.08,300.44
188,Quantum Legacy (2002),Romance,66.89,2002,121,5.7,6.0,-0.85,36707,0.56,122354,8.55,72.27
189,Neon Labyrinth (2006),Romance,192.74,2006,87,8.7,9.3,0.14,49250,0.71,64827,14.5,483.32
190,Hidden Storm (2005),Sci-Fi,72.87,2005,92,5.1,4.9,0.15,35801,0.46,58225,24.88,204.43
191,Broken Labyrinth (2007),Drama,72.57,2007,94,5.7,4.3,-0.23,38880,0.33,190321,53.89,186.36
192,Midnight Odyssey (2008),Drama,121.16,2008,131,5.1,6.8,-0.16,10051,0.42,13644,34.31,287.39
193,Golden Whisper (2004),Action,194.34,2004,125,7.9,5.1,0.6,41198,0.33,163169,21.16,452.82
194,Quantum Journey (2000),Thriller,196.7,2000,148,8.0,9.4,-0.44,30806,0.63,80163,45.32,460.93
195,Broken Odyssey (2018),Romance,118.03,2018,126,7.8,4.1,0.74,19109,0.71,93017,3.14,397.05
196,Midnight Dream (2009),Adventure,5.21,2009,127,6.4,6.4,0.79,27636,0.33,128240,23.47,110.02
197,Silent Horizon (2011),Romance,180.63,2011,93,4.6,9.4,0.3,4172,0.36,163702,36.85,407.27
198,Lost Code (2023),Horror,116.2,2023,98,9.3,6.2,0.55,2660,0.64,72410,35.83,410.3
199,Infinite Labyrinth (2014),Drama,76.37,2014,175,6.9,4.5,0.23,26215,0.86,2106,37.24,228.09
200,Final Storm (2021),Adventure,166.69,2021,88,6.4,5.8,0.05,2297,0.74,113420,14.27,410.93
201,Quantum Whisper (2023),Drama,82.97,2023,86,7.4,6.9,0.93,29212,0.37,140491,21.55,442.63
202,Hidden Echo (2008),Thriller,11.64,2008,169,5.1,5.1,-0.43,11671,0.92,117676,56.03,87.08
203,Final Storm (2019),Drama,165.11,2019,85,4.8,6.7,-0.69,26266,0.94,57329,58.49,634.62
204,Eternal Legacy (2016),Comedy,111.44,2016,159,6.4,8.9,-0.43,48458,0.53,41908,20.1,314.0
205,Fallen Echo (2016),Comedy,70.94,2016,149,5.3,9.1,0.23,34512,0.73,39787,39.38,322.96
206,Infinite Storm (2019),Sci-Fi,53.92,2019,130,5.4,4.3,-0.63,23953,0.64,186911,16.0,43.98
207,Neon Empire (2011),Comedy,120.79,2011,143,9.2,4.9,0.82,8393,0.96,127887,23.37,521.82
208,Final Echo (2006),Comedy,45.57,2006,159,7.1,5.6,-0.18,21292,0.66,153096,47.96,144.03
209,Neon Rebellion (2001),Thriller,68.15,2001,91,6.8,7.5,0.7,2430,0.97,91355,31.07,385.03
210,Lost Storm (2002),Romance,129.12,2002,150,8.0,6.1,-0.5,16205,0.44,108745,51.28,363.66
211,Crimson Dream (2016),Comedy,176.9,2016,99,9.5,8.9,-0.37,19402,0.54,23755,38.47,501.16
212,Neon Mirage (2004),Adventure,108.91,2004,156,4.7,8.2,-0.88,547,0.85,187612,38.48,401.88
213,Silent Code (2016),Sci-Fi,153.03,2016,131,8.8,4.6,-0.48,633,0.85,173646,3.97,512.62
214,Golden Whisper (2023),Drama,153.8,2023,174,7.4,7.6,-0.02,48122,0.81,29356,45.48,410.24
215,Infinite Labyrinth (2016),Comedy,134.55,2016,124,4.8,4.7,0.89,22559,0.9,114526,58.72,494.41
216,Hidden Storm (2016),Sci-Fi,52.94,2016,126,5.7,5.5,-0.22,11738,0.79,78260,29.44,299.67
217,Hidden Shadow (2001),Thriller,174.02,2001,135,6.8,5.0,0.28,35632,0.75,10127,11.2,548.42
218,Silent Legacy (2001),Horror,90.07,2001,119,8.0,5.0,-0.14,36777,0.62,174776,58.66,275.2
219,Broken Horizon (2021),Horror,13.62,2021,125,5.4,7.6,-0.91,28582,0.63,79205,18.83,5.0
220,Final Legacy (2022),Horror,52.7,2022,169,7.1,7.3,0.01,43593,0.58,142950,25.73,163.85
221,Broken Rebellion (2004),Drama,154.28,2004,141,8.0,5.0,-0.87,46627,0.73,173553,6.49,200.61
222,Midnight Labyrinth (2000),Sci-Fi,18.48,2000,122,6.6,9.7,0.77,41264,0.58,64041,8.43,138.96
223,Neon Echo (2000),Comedy,33.74,2000,156,9.0,6.4,0.51,22868,0.4,197453,14.56,228.83
224,Silent Labyrinth (2018),Romance,140.37,2018,92,9.0,4.6,-0.24,35739,0.37,101180,33.81,281.82
225,Crimson Journey (2001),Drama,179.06,2001,158,6.7,4.7,0.28,2934,0.95,3205,34.35,518.22
226,Silent Dream (2020),Drama,128.58,2020,147,9.6,7.4,-0.78,4835,0.32,65767,37.16,276.24
227,Crimson Labyrinth (2011),Horror,48.35,2011,171,4.4,9.7,0.41,16523,0.37,25401,35.86,204.04
228,Hidden Shadow (2005),Romance,15.42,2005,88,4.0,7.3,0.65,20406,0.61,34314,30.72,82.15
229,Hidden Code (2022),Horror,124.95,2022,132,6.2,9.5,0.64,19189,0.48,175585,48.52,336.52
230,Eternal Labyrinth (2003),Drama,14.24,2003,136,7.5,6.6,-0.43,22171,0.58,126748,56.17,63.04
231,Infinite Rebellion (2022),Comedy,124.48,2022,122,7.6,6.5,-0.47,26886,0.38,68605,17.65,286.09
232,Eternal Journey (2010),Horror,48.99,2010,178,6.8,6.9,0.04,46770,0.39,56362,9.55,196.45
233,Final Journey (2023),Horror,181.41,2023,171,4.7,8.0,0.94,22565,0.86,57005,26.66,781.74
234,Quantum Horizon (2016),Adventure,97.64,2016,89,5.0,6.1,0.84,7943,0.83,97867,3.53,438.57
235,Crimson Legacy (2005),Horror,48.67,2005,169,8.9,9.0,-0.28,44514,0.37,161591,53.23,120.55
236,Dark Odyssey (2023),Drama,171.36,2023,154,9.0,4.2,0.56,16165,0.77,89650,15.9,324.62
237,Silver Shadow (2004),Comedy,54.54,2004,165,7.9,6.6,0.84,41042,0.73,184159,33.86,223.02
238,Broken Journey (2019),Romance,64.79,2019,173,7.9,7.0,-0.48,21733,0.8,33784,8.68,191.42
239,Silent Odyssey (2001),Action,167.68,2001,108,7.5,7.5,0.66,37468,0.63,3809,34.09,533.4
240,Dark Echo (2005),Romance,65.21,2005,170,5.2,5.6,-0.46,23981,0.49,94371,4.26,136.56
241,Midnight Mirage (2021),Comedy,84.98,2021,161,6.5,6.5,-0.31,5522,0.76,9519,46.59,258.75
